All,Year,Sex,Age,Sample,Savg,Lavg,Mavg,Sfa,Lfa,Mfa,Lratio,Sratio,Cayo,TOD
All,2019,F,5,131,199.9943695,634.1509196,414.5285136,0.160165424,0.507859553,0.331975022,1.529812543,0.190710681,DD05051,10:55:00
All,2018,F,6,905,43.84174093,143.8106588,147.1268819,0.130957151,0.429568574,0.439474275,0.977460114,0.150691247,DD00463,10:58:00
All,2019,M,13,96,117.0354385,458.2484945,284.2177226,0.136166624,0.533156035,0.330677342,1.61231499,0.157630658,DD01406,11:04:00
All,2019,F,3,11,82.3358434,340.9491577,342.8373515,0.10747088,0.445032254,0.447496866,0.99449245,0.120411623,DD00520,11:08:00
All,2018,F,5,775,118.3052216,354.5833435,402.633901,0.135125284,0.404996282,0.459878434,0.880659434,0.15623683,DD04465,11:08:00
All,2018,F,15,850,82.81815592,249.8759969,200.1070608,0.155439128,0.468985412,0.37557546,1.248711545,0.184047276,DD02884,11:10:00
All,2019,M,-1,107,144.9901225,536.8719279,630.5594279,0.110475274,0.409069751,0.480454975,0.851421617,0.124195844,DD08792,11:18:00
All,2019,M,5,100,124.8062286,573.7165324,560.391866,0.099137961,0.455723144,0.445138895,1.023777409,0.110047884,DD05059,11:18:00
All,2018,F,5,570,17.92858219,62.66941071,77.68164825,0.113271562,0.395941071,0.490787367,0.806746666,0.127740983,DD05631,11:22:00
All,2018,F,9,760,105.9941177,273.6486715,324.5412394,0.15052048,0.388603917,0.460875604,0.843186129,0.177191417,DD04384,11:22:00
All,2019,M,-1,122,198.5486857,797.291158,591.1558024,0.125109786,0.502390262,0.372499952,1.348698862,0.143000555,DD08897,11:25:00
